canon_smiles,iso_smiles
Cn1ncnc1Br,Cn1ncnc1Br
Clc1nsc(Cl)n1,Clc1nsc(Cl)n1
Ic1ccccc1,Ic1ccccc1
Cc1cc(Br)no1,Cc1cc(Br)no1
Nc1nsc(Br)n1,Nc1nsc(Br)n1
CC(O)C(Cl)(Cl)Cl,C[C@@H](O)C(Cl)(Cl)Cl
Cc1cc(Br)n[nH]1,Cc1cc(Br)n[nH]1
Clc1sccc1Br,Clc1sccc1Br
Cc1cscc1Br,Cc1cscc1Br
Cn1cncc1I,Cn1cncc1I
Cc1ccc(Br)s1,Cc1ccc(Br)s1
Cc1n[nH]cc1Br,Cc1n[nH]cc1Br
CCC(C)(Br)CC,CCC(C)(Br)CC
CC(O)C(Cl)(Cl)Cl,C[C@H](O)C(Cl)(Cl)Cl
Brc1nnc(Br)s1,Brc1nnc(Br)s1
Brc1ccc(Br)o1,Brc1ccc(Br)o1
Cc1nc[nH]c1I,Cc1nc[nH]c1I
Cn1cncc1Br,Cn1cncc1Br
Cc1ccc(I)s1,Cc1ccc(I)s1
Brc1cscc1Br,Brc1cscc1Br
Clc1ccsc1Cl,Clc1ccsc1Cl
Brc1ccsc1Br,Brc1ccsc1Br
CCC1CC1(Br)Br,CC[C@@H]1CC1(Br)Br
Ic1cnccn1,Ic1cnccn1
Cn1ccnc1Br,Cn1ccnc1Br
C=CC1CC1(Br)Br,C=C[C@H]1CC1(Br)Br
Cn1cnc(Br)n1,Cn1cnc(Br)n1
CC1C(C)C1(Br)Br,C[C@H]1[C@H](C)C1(Br)Br
CCOC1(Br)CC1,CCOC1(Br)CC1
Cc1[nH]cnc1Br,Cc1[nH]cnc1Br
Cc1c[nH]c(Br)n1,Cc1c[nH]c(Br)n1
Ic1cscc1I,Ic1cscc1I
Brc1c[nH]nc1Br,Brc1c[nH]nc1Br
Cc1conc1Br,Cc1conc1Br
Cc1sccc1Br,Cc1sccc1Br
Brc1ccncc1,Brc1ccncc1
Cc1nc(Br)n[nH]1,Cc1nc(Br)n[nH]1
Cc1cc(Br)cs1,Cc1cc(Br)cs1
Brc1ccc(Br)s1,Brc1ccc(Br)s1
Cn1cnnc1Br,Cn1cnnc1Br
Cn1cnc(I)c1,Cn1cnc(I)c1
Cc1nc(Br)c[nH]1,Cc1nc(Br)c[nH]1
Nc1[nH]ncc1Br,Nc1[nH]ncc1Br
CC(C)(O)C#CBr,CC(C)(O)C#CBr
Brc1cncnc1,Brc1cncnc1
Clc1nc(Br)ns1,Clc1nc(Br)ns1
Cc1nc(I)c[nH]1,Cc1nc(I)c[nH]1
Cc1nc(Br)cs1,Cc1nc(Br)cs1
Brc1ccccn1,Brc1ccccn1
Ic1ccc(I)s1,Ic1ccc(I)s1
Brc1csc(Br)c1,Brc1csc(Br)c1
NC(=[NH2+])C(Cl)(Cl)Cl,NC(=[NH2+])C(Cl)(Cl)Cl
Cn1cc(Br)cn1,Cn1cc(Br)cn1
Brc1ccc(Br)cc1,Brc1ccc(Br)cc1
Ic1cccnc1I,Ic1cccnc1I
Brc1cncc(Br)c1,Brc1cncc(Br)c1
Fc1ccncc1Br,Fc1ccncc1Br
Cc1nc(I)c(I)[nH]1,Cc1nc(I)c(I)[nH]1
Brc1ccc(I)cn1,Brc1ccc(I)cn1
Brc1cccc(Br)c1,Brc1cccc(Br)c1
Cc1cccc(I)c1,Cc1cccc(I)c1
Nc1ccc(Br)nc1,Nc1ccc(Br)nc1
Nc1cc[nH+]cc1I,Nc1cc[nH+]cc1I
Brc1cncc(Br)c1,Brc1cncc(Br)c1
Fc1cccc(Br)n1,Fc1cccc(Br)n1
Brc1n[nH]c(Br)c1Br,Brc1n[nH]c(Br)c1Br
CC(F)(Cl)C(Cl)(Cl)Cl,C[C@](F)(Cl)C(Cl)(Cl)Cl
[NH3+]Cc1cc(Br)no1,[NH3+]Cc1cc(Br)no1
Brc1cccc(Br)n1,Brc1cccc(Br)n1
CC(C)(Br)C(C)(C)Br,CC(C)(Br)C(C)(C)Br
Ic1nc(I)c(I)[nH]1,Ic1nc(I)c(I)[nH]1
O=c1ssc(Cl)c1Cl,O=c1ssc(Cl)c1Cl
Cc1cc(Cl)sc1Cl,Cc1cc(Cl)sc1Cl
Cc1ccccc1I,Cc1ccccc1I
Fc1cccnc1I,Fc1cccnc1I
Clc1ccc(Br)cc1,Clc1ccc(Br)cc1
Brc1cc(I)c(I)s1,Brc1cc(I)c(I)s1
CC(F)(F)C(F)(F)Cl,CC(F)(F)C(F)(F)Cl
Nc1ncc(Br)cn1,Nc1ncc(Br)cn1
Cc1ccc(Br)cn1,Cc1ccc(Br)cn1
Oc1cccc(I)c1,Oc1cccc(I)c1
Cn1cnc(I)c1Cl,Cn1cnc(I)c1Cl
Oc1cccnc1I,Oc1cccnc1I
Brc1ccccc1Br,Brc1ccccc1Br
Clc1nc(Cl)c(Cl)[nH]1,Clc1nc(Cl)c(Cl)[nH]1
CC(C)(O)C(Cl)(Cl)Cl,CC(C)(O)C(Cl)(Cl)Cl
Nc1ccc(Br)cc1,Nc1ccc(Br)cc1
OCCCC(F)(Cl)Cl,OCCCC(F)(Cl)Cl
CC1(CO)CC1(Br)Br,C[C@@]1(CO)CC1(Br)Br
Clc1cc(Br)c(Cl)s1,Clc1cc(Br)c(Cl)s1
C=CC=CC(F)(F)Br,C=C/C=C/C(F)(F)Br
Fc1ccc(Br)cc1,Fc1ccc(Br)cc1
N#Cc1ccc(Br)o1,N#Cc1ccc(Br)o1
NC(=O)C1CC1(Cl)Cl,NC(=O)[C@H]1CC1(Cl)Cl
Cn1cc(Br)c(N)n1,Cn1cc(Br)c(N)n1
Cn1cnc(Cl)c1Cl,Cn1cnc(Cl)c1Cl
Nc1cccnc1I,Nc1cccnc1I
O=c1c(Cl)c(Cl)c1=O,O=c1c(Cl)c(Cl)c1=O
Clc1cccc(Br)c1,Clc1cccc(Br)c1
Brc1cc(Br)c(Br)[nH]1,Brc1cc(Br)c(Br)[nH]1
Clc1ncccc1Br,Clc1ncccc1Br
Cn1cc(Br)nc1Br,Cn1cc(Br)nc1Br
OC1OCCC1(Cl)Cl,O[C@@H]1OCCC1(Cl)Cl
Nc1cccnc1Br,Nc1cccnc1Br
Fc1cc(I)ccn1,Fc1cc(I)ccn1
Cn1cnc(I)c1I,Cn1cnc(I)c1I
Fc1ccccc1I,Fc1ccccc1I
Cc1nc(Br)n(C)n1,Cc1nc(Br)n(C)n1
ClC1=NSC(Cl)=NS1,ClC1=NSC(Cl)=NS1
BrC1(Br)CC12CCC2,BrC1(Br)CC12CCC2
CC(C)(O)C(F)(Cl)Cl,CC(C)(O)C(F)(Cl)Cl
OCc1cc(Br)no1,OCc1cc(Br)no1
O=C([O-])CCC#CI,O=C([O-])CCC#CI
Nc1ccccc1Br,Nc1ccccc1Br
Brc1ccc(I)nc1,Brc1ccc(I)nc1
Cc1nc(Cl)c(Cl)[nH]1,Cc1nc(Cl)c(Cl)[nH]1
Nc1ncc(I)cn1,Nc1ncc(I)cn1
Oc1ccc(Br)cc1,Oc1ccc(Br)cc1
Oc1cncc(Br)c1,Oc1cncc(Br)c1
Cn1ncc(Br)c1N,Cn1ncc(Br)c1N
Cc1ccccc1Br,Cc1ccccc1Br
Cc1n[nH]c(N)c1Br,Cc1n[nH]c(N)c1Br
Nc1c(Cl)nsc1Br,Nc1c(Cl)nsc1Br
Cc1nc(I)[nH]c1C,Cc1nc(I)[nH]c1C
Brc1cccc(I)c1,Brc1cccc(I)c1
Fc1ccccc1Br,Fc1ccccc1Br
Clc1nc(Br)[nH]c1Cl,Clc1nc(Br)[nH]c1Cl
Clc1ccc(I)cn1,Clc1ccc(I)cn1
Cc1c(Br)nnn1C,Cc1c(Br)nnn1C
Cc1noc(C)c1I,Cc1noc(C)c1I
Fc1cccc(I)c1,Fc1cccc(I)c1
Cc1cccc(Br)n1,Cc1cccc(Br)n1
Nc1ccc(I)cc1,Nc1ccc(I)cc1
Cc1onc(N)c1Br,Cc1onc(N)c1Br
O=c1[nH]cncc1I,O=c1[nH]cncc1I
Clc1ccc(Br)cn1,Clc1ccc(Br)cn1
CSc1nc(Cl)ns1,CSc1nc(Cl)ns1
Cc1cn(C)c(Br)n1,Cc1cn(C)c(Br)n1
Oc1ccccc1Br,Oc1ccccc1Br
Oc1cccc(Br)c1,Oc1cccc(Br)c1
NC(=O)C1CC1(Cl)Cl,NC(=O)[C@@H]1CC1(Cl)Cl
Cn1cnc(Br)c1Br,Cn1cnc(Br)c1Br
Nc1cc[nH+]cc1Br,Nc1cc[nH+]cc1Br
O=c1ncc(Br)c[nH]1,O=c1ncc(Br)c[nH]1
OCc1cscc1Br,OCc1cscc1Br
N#Cc1sccc1Br,N#Cc1sccc1Br
Ic1cccc(I)n1,Ic1cccc(I)n1
Cc1nc(I)[nH]c1I,Cc1nc(I)[nH]c1I
Clc1ncccc1I,Clc1ncccc1I
Nc1cnc(Br)cn1,Nc1cnc(Br)cn1
C=Cn1cc(Br)cn1,C=Cn1cc(Br)cn1
Oc1ccc(Br)nc1,Oc1ccc(Br)nc1
CC1(CO)CC1(Br)Br,C[C@]1(CO)CC1(Br)Br
Cc1ccnc(Br)c1,Cc1ccnc(Br)c1
Nc1ccc(I)cc1,Nc1ccc(I)cc1
OCc1csc(Br)n1,OCc1csc(Br)n1
Cc1nc(Br)cn1C,Cc1nc(Br)cn1C
OC1OCCC1(Cl)Cl,O[C@H]1OCCC1(Cl)Cl
Fc1ccc(Br)cn1,Fc1ccc(Br)cn1
Nc1cncc(I)c1,Nc1cncc(I)c1
Clc1ccccc1I,Clc1ccccc1I
Cc1ccncc1Br,Cc1ccncc1Br
Brc1nc(Br)c(Br)[nH]1,Brc1nc(Br)c(Br)[nH]1
Fc1cncc(Br)c1,Fc1cncc(Br)c1
CC(F)(F)C(Cl)(Cl)Cl,CC(F)(F)C(Cl)(Cl)Cl
Cc1snc([O-])c1Br,Cc1snc([O-])c1Br
Nc1cnccc1I,Nc1cnccc1I
Ic1cncc(I)c1,Ic1cncc(I)c1
COC(=[N-])C(Cl)(Cl)Cl,COC(=[N-])C(Cl)(Cl)Cl
Cc1cncc(Br)c1,Cc1cncc(Br)c1
OCc1cc(Br)cs1,OCc1cc(Br)cs1
Cc1nc(Br)c(Br)[nH]1,Cc1nc(Br)c(Br)[nH]1
Clc1cccc(Br)n1,Clc1cccc(Br)n1
Oc1ccccc1I,Oc1ccccc1I
Oc1ccc(I)cc1,Oc1ccc(I)cc1
Cc1n[nH]c(C)c1I,Cc1n[nH]c(C)c1I
Clc1cccc(I)c1,Clc1cccc(I)c1
O=C([O-])C1CC1(Cl)Cl,O=C([O-])[C@H]1CC1(Cl)Cl
Brc1cccnc1Br,Brc1cccnc1Br
Brc1cncc(I)c1,Brc1cncc(I)c1
CCOC1CC1(Cl)Cl,CCO[C@@H]1CC1(Cl)Cl
CN=c1ssnc1Cl,C/N=c1\ssnc1Cl
Cn1c(Br)cnc1Br,Cn1c(Br)cnc1Br
CC(C)(O)C(Br)(Br)Br,CC(C)(O)C(Br)(Br)Br
Cn1c(I)cnc1I,Cn1c(I)cnc1I
Brc1ccc(Br)nn1,Brc1ccc(Br)nn1
Cc1[nH]c(Br)nc1Br,Cc1[nH]c(Br)nc1Br
Clc1cncc(Br)c1,Clc1cncc(Br)c1
Ic1ccc(I)nc1,Ic1ccc(I)nc1
O=C([O-])C1CC1(Cl)Cl,O=C([O-])[C@@H]1CC1(Cl)Cl
Brc1sc(I)cc1I,Brc1sc(I)cc1I
Clc1cccc(I)n1,Clc1cccc(I)n1
Cc1ccc(I)cc1,Cc1ccc(I)cc1
Cc1cc(Br)sc1Br,Cc1cc(Br)sc1Br
Nc1cc[nH+]c(Br)c1,Nc1cc[nH+]c(Br)c1
Cc1cc(I)c(C)s1,Cc1cc(I)c(C)s1
O=c1cc(Br)cc[nH]1,O=c1cc(Br)cc[nH]1
Clc1csc(Cl)c1Cl,Clc1csc(Cl)c1Cl
Fc1ccc(Br)nc1,Fc1ccc(Br)nc1
Fc1ccc(I)cn1,Fc1ccc(I)cn1
Nc1c(Cl)nsc1Cl,Nc1c(Cl)nsc1Cl
Nc1cccc(Br)c1,Nc1cccc(Br)c1
Clc1ccc(I)cc1,Clc1ccc(I)cc1
Brc1csc(Br)c1Br,Brc1csc(Br)c1Br
OCc1cnc(Br)s1,OCc1cnc(Br)s1
Clc1cc(Cl)c(Cl)s1,Clc1cc(Cl)c(Cl)s1
N#CCCC(Cl)(Cl)Cl,N#CCCC(Cl)(Cl)Cl
Nc1ccc(Br)cc1,Nc1ccc(Br)cc1
Fc1ccc(I)cc1,Fc1ccc(I)cc1
Cc1ncc(Br)n1C,Cc1ncc(Br)n1C
Nc1ccccc1I,Nc1ccccc1I
Fc1cc(Br)ccn1,Fc1cc(Br)ccn1
Nc1cncc(Br)c1,Nc1cncc(Br)c1
Clc1ccnc(Br)c1,Clc1ccnc(Br)c1
Clc1ccncc1Br,Clc1ccncc1Br
Brc1ccncc1Br,Brc1ccncc1Br
Nc1ccc(Br)nn1,Nc1ccc(Br)nn1
Brc1cc(I)ccn1,Brc1cc(I)ccn1
O=c1ccc(I)c[nH]1,O=c1ccc(I)c[nH]1
Cc1noc(C)c1Br,Cc1noc(C)c1Br
Fc1cccc(Br)c1,Fc1cccc(Br)c1
Cc1n[nH]c(C)c1Br,Cc1n[nH]c(C)c1Br
Cc1nc(Br)nn1C,Cc1nc(Br)nn1C
N#Cc1n[nH]nc1Br,N#Cc1n[nH]nc1Br
O=c1oc(Cl)c(Cl)o1,O=c1oc(Cl)c(Cl)o1
Clc1cnccc1Br,Clc1cnccc1Br
Fc1ncccc1I,Fc1ncccc1I
OCCCC(F)(F)Br,OCCCC(F)(F)Br
[NH3+]Cc1ccsc1Br,[NH3+]Cc1ccsc1Br
Cc1nn(C)cc1Br,Cc1nn(C)cc1Br
Brc1ccc(I)cc1,Brc1ccc(I)cc1
Cc1ccc(Br)cc1,Cc1ccc(Br)cc1
Clc1ccccc1Br,Clc1ccccc1Br
ClC1(Cl)CC12CCC2,ClC1(Cl)CC12CCC2
Cc1[nH]nc(Br)c1Br,Cc1[nH]nc(Br)c1Br
O=c1cc[nH]cc1I,O=c1cc[nH]cc1I
Cc1[nH]nc(O)c1Br,Cc1[nH]nc(O)c1Br
COc1nc(Br)cs1,COc1nc(Br)cs1
Nc1cccc(I)c1,Nc1cccc(I)c1
Cc1ncccc1Br,Cc1ncccc1Br
Clc1cccnc1Br,Clc1cccnc1Br
N#Cc1ccc(Br)s1,N#Cc1ccc(Br)s1
Brc1ccnc(Br)c1,Brc1ccnc(Br)c1
Fc1cccnc1Br,Fc1cccnc1Br
O=C([O-])CCC#CBr,O=C([O-])CCC#CBr
Oc1cccnc1Br,Oc1cccnc1Br
Brc1ccccc1I,Brc1ccccc1I
Brc1nccnc1Br,Brc1nccnc1Br
Brc1ccc(Br)nc1,Brc1ccc(Br)nc1
Cc1nc(C)c(Br)s1,Cc1nc(C)c(Br)s1
O=c1[nH]cncc1Br,O=c1[nH]cncc1Br
Clc1cc(Br)ccn1,Clc1cc(Br)ccn1
Clc1cc(I)ccn1,Clc1cc(I)ccn1
Fc1ncccc1Br,Fc1ncccc1Br
Brc1cc(Br)c(Br)s1,Brc1cc(Br)c(Br)s1
Cc1onc(Br)c1C,Cc1onc(Br)c1C
CSc1nc(Br)ns1,CSc1nc(Br)ns1
Cc1n[nH]c(C)c1Br,Cc1n[nH]c(C)c1Br
OCC=CC(F)(F)Br,OC/C=C/C(F)(F)Br
N#Cc1[nH]ncc1Br,N#Cc1[nH]ncc1Br
Clc1cncc(I)c1,Clc1cncc(I)c1
Fc1cnccc1I,Fc1cnccc1I
Ic1ccc(I)nn1,Ic1ccc(I)nn1
Clc1ccncc1I,Clc1ccncc1I
Fc1cnccc1Br,Fc1cnccc1Br
Cc1cnc(Br)n1C,Cc1cnc(Br)n1C
O=c1cnc(Br)c[nH]1,O=c1cnc(Br)c[nH]1
Cc1cccnc1Br,Cc1cccnc1Br
Cc1nc(C)c(I)s1,Cc1nc(C)c(I)s1
Clc1ccc(Br)nc1,Clc1ccc(Br)nc1
Cc1ccc(Br)nc1,Cc1ccc(Br)nc1
N#Cc1cscc1Br,N#Cc1cscc1Br
Cc1sc(Br)cc1Br,Cc1sc(Br)cc1Br
Nc1cccc(I)c1,Nc1cccc(I)c1
[O-]c1cc(Cl)ncc1Cl,[O-]c1cc(Cl)ncc1Cl
O=C([O-])c1sccc1I,O=C([O-])c1sccc1I
Nc1cc(F)cc(I)c1,Nc1cc(F)cc(I)c1
Cc1c(Br)sc(Br)c1Br,Cc1c(Br)sc(Br)c1Br
Cc1ccc(O)c(Br)n1,Cc1ccc(O)c(Br)n1
O=C([O-])C(O)C(Cl)(Cl)Cl,O=C([O-])[C@H](O)C(Cl)(Cl)Cl
Fc1ccc(Br)c(Cl)c1,Fc1ccc(Br)c(Cl)c1
Fc1ccc(I)c(F)c1,Fc1ccc(I)c(F)c1
O=C([O-])c1cc(Br)c[nH]1,O=C([O-])c1cc(Br)c[nH]1
Nc1ccc(F)cc1I,Nc1ccc(F)cc1I
Cn1c(I)nc(I)c1Cl,Cn1c(I)nc(I)c1Cl
O=C([O-])c1cscc1Br,O=C([O-])c1cscc1Br
Fc1cc(Br)ccc1Br,Fc1cc(Br)ccc1Br
Cc1ccc(F)c(I)c1,Cc1ccc(F)c(I)c1
COc1ccc(Br)nc1,COc1ccc(Br)nc1
[NH3+]C(CS(=O)[O-])C(=O)[O-],[NH3+][C@@H](C[S@@](=O)[O-])C(=O)[O-]
CSc1cccc(Cl)n1,CSc1cccc(Cl)n1
Nc1ccc(Br)nc1Cl,Nc1ccc(Br)nc1Cl
Clc1cncc(Cl)c1Cl,Clc1cncc(Cl)c1Cl
ClC1(Cl)C2CCCOC21,ClC1(Cl)[C@H]2OCCC[C@H]21
Cc1ccc(O)c(Br)c1,Cc1ccc(O)c(Br)c1
Cc1ccc(Br)nc1Br,Cc1ccc(Br)nc1Br
Cc1c(I)ccnc1Cl,Cc1c(I)ccnc1Cl
CC(=O)OC1CC1(Br)Br,CC(=O)O[C@@H]1CC1(Br)Br
Oc1cccc(Cl)c1Br,Oc1cccc(Cl)c1Br
NC(=O)c1ccc(I)o1,NC(=O)c1ccc(I)o1
Nc1ccc(Cl)cc1I,Nc1ccc(Cl)cc1I
CC(=O)c1csc(Cl)c1,CC(=O)c1csc(Cl)c1
Cc1ccc(Br)c(C)c1,Cc1ccc(Br)c(C)c1
OC1CCC(O)C1(Cl)Cl,O[C@H]1CC[C@H](O)C1(Cl)Cl
Oc1ccc(F)cc1Br,Oc1ccc(F)cc1Br
COc1ncc(Br)cn1,COc1ncc(Br)cn1
Clc1sc(Cl)c(Cl)c1Cl,Clc1sc(Cl)c(Cl)c1Cl
CNc1ccc(Br)nc1,CNc1ccc(Br)nc1
FC(F)(F)CC(F)(F)F,FC(F)(F)CC(F)(F)F
ClC1(Cl)C2CCCOC21,ClC1(Cl)[C@H]2CCCO[C@H]21
Oc1cc(Br)ccc1Cl,Oc1cc(Br)ccc1Cl
Oc1ccc(Cl)cc1Br,Oc1ccc(Cl)cc1Br
CC(C)(C)NS(C)(=O)=O,CC(C)(C)NS(C)(=O)=O
Cc1ccc(I)cc1F,Cc1ccc(I)cc1F
CSc1ccc(Cl)nn1,CSc1ccc(Cl)nn1
Cc1c(Cl)ncnc1Cl,Cc1c(Cl)ncnc1Cl
Cc1cc(F)cc(Br)c1,Cc1cc(F)cc(Br)c1
BrC1=c2ccccc2=C1,BrC1=c2ccccc2=C1
Cc1nn(C)c(Br)c1Br,Cc1nn(C)c(Br)c1Br
Cc1ncnc(N)c1I,Cc1ncnc(N)c1I
CC(C)C(O)S(=O)(=O)[O-],CC(C)[C@@H](O)S(=O)(=O)[O-]
Cn1nc(Cl)c(Cl)c1Cl,Cn1nc(Cl)c(Cl)c1Cl
Clc1cc(Cl)cc(I)c1,Clc1cc(Cl)cc(I)c1
CN(C)S(=O)(=O)N(C)C,CN(C)S(=O)(=O)N(C)C
N#[N+]c1ccccc1Br,N#[N+]c1ccccc1Br
Cn1c(Br)cccc1=O,Cn1c(Br)cccc1=O
O=C([O-])c1occc1Br,O=C([O-])c1occc1Br
C#Cc1ccc(Br)cc1,C#Cc1ccc(Br)cc1
CCCC([NH3+])S(=O)(=O)[O-],CCC[C@@H]([NH3+])S(=O)(=O)[O-]
CSc1ccccc1Br,CSc1ccccc1Br
Nc1ccc(Br)cc1Br,Nc1ccc(Br)cc1Br
OC1OCCCC1(Cl)Cl,O[C@@H]1OCCCC1(Cl)Cl
CC([NH3+])c1ccc(Cl)s1,C[C@H]([NH3+])c1ccc(Cl)s1
Fc1c(Cl)cccc1Cl,Fc1c(Cl)cccc1Cl
ClC(Cl)(Cl)C1OCCO1,ClC(Cl)(Cl)C1OCCO1
Cc1ccc(I)c(F)c1,Cc1ccc(I)c(F)c1
Cc1ccc(Cl)c(I)c1,Cc1ccc(Cl)c(I)c1
Oc1ccc(O)c(Br)c1,Oc1ccc(O)c(Br)c1
Oc1ccc(Cl)cc1Cl,Oc1ccc(Cl)cc1Cl
Nc1ccc(Cl)nc1Cl,Nc1ccc(Cl)nc1Cl
Fc1cc(I)ccc1Cl,Fc1cc(I)ccc1Cl
Fc1ncc(Cl)cc1Cl,Fc1ncc(Cl)cc1Cl
Nc1cc(Br)cnc1Cl,Nc1cc(Br)cnc1Cl
NC(=O)c1nnsc1Cl,NC(=O)c1nnsc1Cl
Cc1ccc(N)c(I)c1,Cc1ccc(N)c(I)c1
Oc1c(F)cccc1Br,Oc1c(F)cccc1Br
CS(=O)(=O)OS(C)(=O)=O,CS(=O)(=O)OS(C)(=O)=O
CSc1ccc(Br)cc1,CSc1ccc(Br)cc1
CC(CO)CS(=O)(=O)[O-],C[C@H](CO)CS(=O)(=O)[O-]
N#Cc1ccc(I)cc1,N#Cc1ccc(I)cc1
Cc1nn(C)c(C)c1I,Cc1nn(C)c(C)c1I
O=c1nnc(I)c([O-])[nH]1,O=c1nnc(I)c([O-])[nH]1
Clc1c(Br)cncc1Br,Clc1c(Br)cncc1Br
N#Cc1ccccc1Br,N#Cc1ccccc1Br
Cc1nc(Cl)ccc1Cl,Cc1nc(Cl)ccc1Cl
CS(=O)(=O)c1ccsc1,CS(=O)(=O)c1ccsc1
Cc1ccc(Br)cc1N,Cc1ccc(Br)cc1N
Oc1cc(I)ccc1Cl,Oc1cc(I)ccc1Cl
Cc1cccc(C)c1I,Cc1cccc(C)c1I
Fc1cccc(Br)c1Cl,Fc1cccc(Br)c1Cl
Cc1cc(C)cc(I)c1,Cc1cc(C)cc(I)c1
Cc1nc(Br)n(C)c1Br,Cc1nc(Br)n(C)c1Br
Cc1ccc(I)cc1C,Cc1ccc(I)cc1C
Fc1cc(I)ccc1Br,Fc1cc(I)ccc1Br
N#CCn1cc(I)cn1,N#CCn1cc(I)cn1
Cn1c(Br)nc(Br)c1Br,Cn1c(Br)nc(Br)c1Br
C[NH2+]Cc1ccc(Br)s1,C[NH2+]Cc1ccc(Br)s1
CSc1nsc(SC)n1,CSc1nsc(SC)n1
CCC(C)NS(C)(=O)=O,CC[C@H](C)NS(C)(=O)=O
Clc1cc(Br)ccc1Br,Clc1cc(Br)ccc1Br
Clc1cc(Br)cc(Br)c1,Clc1cc(Br)cc(Br)c1
Oc1cc(F)ccc1Br,Oc1cc(F)ccc1Br
CC(=O)c1cc(Br)cs1,CC(=O)c1cc(Br)cs1
C#Cc1ccccc1Br,C#Cc1ccccc1Br
Nc1cc(F)ccc1I,Nc1cc(F)ccc1I
Clc1ccc(Cl)c(Cl)n1,Clc1ccc(Cl)c(Cl)n1
CC(C)([NH3+])COS(=O)O,CC(C)([NH3+])CO[S@](=O)O
Clc1cccc(Br)c1Cl,Clc1cccc(Br)c1Cl
Cc1cc(Cl)ccc1I,Cc1cc(Cl)ccc1I
Cc1cccc(C)c1Br,Cc1cccc(C)c1Br
Clc1ccc(Cl)c(I)c1,Clc1ccc(Cl)c(I)c1
[NH3+]CCn1cc(Br)cn1,[NH3+]CCn1cc(Br)cn1
CNc1ncncc1Br,CNc1ncncc1Br
O=c1[nH]cc(Br)c(=O)[nH]1,O=c1[nH]cc(Br)c(=O)[nH]1
[NH3+]CC(F)(F)C(F)(F)F,[NH3+]CC(F)(F)C(F)(F)F
COc1cccc(I)c1,COc1cccc(I)c1
Nc1ccc(F)cc1Br,Nc1ccc(F)cc1Br
Nc1ccc(I)cc1F,Nc1ccc(I)cc1F
Fc1ccc(Br)c(F)c1,Fc1ccc(Br)c(F)c1
[O-]c1cc(Cl)nnc1Cl,[O-]c1cc(Cl)nnc1Cl
O=c1nc([O-])nc(Br)[nH]1,O=c1nc([O-])nc(Br)[nH]1
